"Author_Abbrev","Title_Abbrev","Authors","Latin_Title","Modern_Title"
"Dem.","Meid.","Demosthenes","Against Meidias"
"Democr.","Epon.","Democritus","Eponymous"
"Din.","Epon.","Dinarchus","Eponymous"
"Dio Cass.","Epon.","Dio Cassius","Eponymous"
"Dio Chrys.","Or.","Dio Chrysostomus","Orationes"
"Dio Cocc.","Epon.","Dio Cocceianus","Eponymous"
"Diocl. Magn.","Epon.","Diocles of Magnesia","Eponymous"
"Diod. Sic.","Epon.","Diodorus Siculus","Eponymous"
"Diog. Laert.","Epon.","Diogenes Laertius","Eponymous"
"Diogenian.","Epon.","Diogenianus Paroemiographus","Eponymous"
"Diom.","Epon.","Diomedes Grammaticus","Eponymous"
"Dion. Calliphon.","Epon.","Dionysius Calliphontis filius","Eponymous"
"Dion. Hal.","Ant. Rom.","Dionysius Halicarnassensis","Antiquitates Romanae"
"Dion. Hal.","Comp.","Dionysius Halicarnassensis","De compositione verborum"
"Dion. Hal.","De imit.","Dionysius Halicarnassensis","De imitatione"
"Dion. Hal.","Dem.","Dionysius Halicarnassensis","De Demosthene"
"Dion. Hal.","Isoc.","Dionysius Halicarnassensis","De Isocrate"
"Dion. Hal.","Lys.","Dionysius Halicarnassensis","De Lysia"
"Dion. Hal.","Pomp.","Dionysius Halicarnassensis","Epistula ad Pompeium"
"Dion. Hal.","Rhet.","Dionysius Halicarnassensis","Ars rhetorica"
"Dion. Hal.","Thuc.","Dionysius Halicarnassensis","De Thucydide"
"Dion. Hal.","Vett. cens.","Dionysius Halicarnassensis","De veterum censura"
"Dion. Thrax.","Epon.","Dionysius Thrax","Eponymous"
"Dionys. Per.","Epon.","Dionysius Periegeta","Eponymous"
"Donat.","Vit. Verg.","Aelius Donatus","Vita Vergili"
"Enn.","Ann.","Ennius","Annales"
"Epicharm.","Epon.","Epicharmus","Eponymous"
"Epicurus","Ep.","Epicurus","Epistulae"
"Epicurus","Ep. Hdt.","Epicurus","Epistula ad Herodotum"
"Epicurus","Ep. Men.","Epicurus","Epistula ad Menoeceum"
"Epicurus","Ep. Pyth.","Epicurus","Epistula ad Pythoclem"
"Epicurus","RS","Epicurus","Ratae sententiae"
"Epicurus","Sent. Vat.","Epicurus","Vatican Sayings (Gnomologium Vaticanum)"
"Epiph.","Adv. haeres.","Epiphanius","Adversus haereses"
"Eratosth.","Cat.","Eratosthenes","Greek"
"Euc.","Epon.","Euclid","Eponymous"
"Eudem.","Epon.","Eudemus","Eponymous"
"Eunap.","VS","Eunapius","Vitae sophistarum"
"Eup.","Epon.","Eupolis","Eponymous"
"Eur.","Alc.","Euripides","Alcestis","Alcestis"
"Eur.","Andr.","Euripides","Andromache"
"Eur.","Bacch.","Euripides","Bacchae"
"Eur.","Beller.","Euripides","Bellerophon"
"Eur.","Cyc.","Euripides","Cyclops"
"Eur.","El.","Euripides","Electra"
"Eur.","Hec.","Euripides","Hecuba"
"Eur.","Hel.","Euripides","Helena"
"Eur.","Heracl.","Euripides","Heraclidae"
"Eur.","HF","Euripides","Hercules furens"
"Eur.","Hipp.","Euripides","Hippolytus"
"Eur.","Hyps.","Euripides","Hypsipyle"
"Eur.","IA","Euripides","Iphigenia Aulidensis","Iphigeneia in Aulis"
"Eur.","IT","Euripides","Iphigenia Taurica","Iphigeneia in Tauris"
"Eur.","Med.","Euripides","Medea"
"Eur.","Or.","Euripides","Orestes"
"Eur.","Phoen.","Euripides","Phoenissae"
"Eur.","Rhes.","Euripides","Rhesus"
"Eur.","Sthen.","Euripides","Stheneboea"
"Eur.","Supp.","Euripides","Supplices","Suppliants"
"Eur.","Tro.","Euripides","Troades"
"Euseb.","Chron.","Eusebius","Chronica"
"Euseb.","Hist. eccl.","Eusebius","Historia ecclesiastica"
"Euseb.","Praep. evang.","Eusebius","Praeparatio evangelica"
"Euseb.","Vit. Const.","Eusebius","Vita Constantini","Life of Constantine"
"Eust.","Il.","Eustathius","Ad Iliadem"
"Eust.","Od.","Eustathius","Ad Odysseam"
"Eust.","Prooem. ad Pind.","Eustathius","Eustathii prooemium commentarium Pindaricorum, ed."
"Eutocius","In Arch. circ. dim.","Eutocius","In Archimedis circuli dimensionem"
"Eutr.","Epon.","Eutropius","Eponymous"
