iam_work_id,author_abbrev,title_abbrev,author_name,iam_author_id,latin_title,modern_title
iamwork296,Cic.,Prov. cons.,Cicero (Marcus Tullius),cicero-marcus-tullius,De provinciis consularibus,
iamwork297,Cic.,Q Fr.,Cicero (Marcus Tullius),cicero-marcus-tullius,Epistule ad Quintum fratrem,
iamwork298,Cic.,Q Rosc.,Cicero (Marcus Tullius),cicero-marcus-tullius,Pro Roscio Postumo,
iamwork299,Cic.,Quinct.,Cicero (Marcus Tullius),cicero-marcus-tullius,Pro Quinctio,
iamwork300,Cic.,Rab. Post.,Cicero (Marcus Tullius),cicero-marcus-tullius,Pro Rabirio Postumo,
iamwork301,Cic.,Red. pop.,Cicero (Marcus Tullius),cicero-marcus-tullius,Post reditum ad populum,
iamwork302,Cic.,Red. sen.,Cicero (Marcus Tullius),cicero-marcus-tullius,Post reditum in senatu,
iamwork303,Cic.,Rep.,Cicero (Marcus Tullius),cicero-marcus-tullius,De republica,
iamwork304,Cic.,Rosc. Am.,Cicero (Marcus Tullius),cicero-marcus-tullius,Pro Sexto Roscio Amerino,
iamwork305,Cic.,Scaur.,Cicero (Marcus Tullius),cicero-marcus-tullius,Pro Scauro,
iamwork306,Cic.,Sen.,Cicero (Marcus Tullius),cicero-marcus-tullius,De senectute,
iamwork307,Cic.,Sest.,Cicero (Marcus Tullius),cicero-marcus-tullius,Pro Sestio,
iamwork308,Cic.,Somn.,Cicero (Marcus Tullius),cicero-marcus-tullius,Somnium Scriponis,
iamwork309,Cic.,Sull.,Cicero (Marcus Tullius),cicero-marcus-tullius,Pro Sulla,
iamwork310,Cic.,Tog. cand.,Cicero (Marcus Tullius),cicero-marcus-tullius,Oratio in senatu in toga candida,
iamwork311,Cic.,Top.,Cicero (Marcus Tullius),cicero-marcus-tullius,Topica,
iamwork312,Cic.,Tusc.,Cicero (Marcus Tullius),cicero-marcus-tullius,Tusculanae disputationes,
iamwork313,Cic.,Verr.,Cicero (Marcus Tullius),cicero-marcus-tullius,In Verrem,
iamwork314,Cicero,Comment. pet.,Cicero (Quintus,cicero-quintus,Commentariolum petitionis,
iamwork316,CIL,Epon.,CIL,cil,Corpus Inscriptionum Latinum,
iamwork317,Claud.,Cons.Hon.Cons.Stil.,Claudianus,claudianus,De consulatu Honorii De consulatu Stilichonis,
iamwork318,Clem. Al.,Protr.,Clemens Alexandrinus,alexandrinus-clemens,Protrepticus,
iamwork319,Clem. Al.,Strom.,Clemens Alexandrinus,alexandrinus-clemens,Stromateis,
iamwork320,Columella,Rust.,Columella,columella,De re rustica,
iamwork321,Conon,Narr.,Conon Mythographus,conon-mythographus,Greek,
iamwork322,Cornutus,Theol. Graec.,Cornutus (L. Annaeus),annaeus-cornutus-l,Greek,
iamwork323,Curt.,Epon.,Q. Curtius Rufus,curtius-q-rufus,Eponymous,
iamwork324,Cyril.,Adv. Iul.,Cyrillus,cyrillus,Adversus Iulianum,
iamwork325,Dam.,Isid.,Damascius,damascius,Vita Isidori,
iamwork326,Dem.,De cor.,Demosthenes,demosthenes,De corona,On the Crown
iamwork327,Dem.,Epit.,Demosthenes,demosthenes,Epitaphius,Funeral Oration
iamwork328,Dem.,Lept.,Demosthenes,demosthenes,Against Leptines,
iamwork329,Dem.,Meid.,Demosthenes,demosthenes,Against Meidias,
iamwork331,Democr.,Epon.,Democritus,democritus,Eponymous,
iamwork332,Din.,Epon.,Dinarchus,dinarchus,Eponymous,
iamwork333,Dio Cass.,Epon.,Dio Cassius,cassius-dio,Eponymous,
iamwork334,Dio Chrys.,Or.,Dio Chrysostomus,chrysostomus-dio,Orationes,
iamwork335,Dio Cocc.,Epon.,Dio Cocceianus,cocceianus-dio,Eponymous,
iamwork336,Diocl. Magn.,Epon.,Diocles of Magnesia,diocles-magnesia-of,Eponymous,
iamwork337,Diod. Sic.,Epon.,Diodorus Siculus,diodorus-siculus,Eponymous,
iamwork338,Diog. Laert.,Epon.,Diogenes Laertius,diogenes-laertius,Eponymous,
iamwork339,Diogenian.,Epon.,Diogenianus Paroemiographus,diogenianus-paroemiographus,Eponymous,
iamwork340,Diom.,Epon.,Diomedes Grammaticus,diomedes-grammaticus,Eponymous,
iamwork341,Dion. Calliphon.,Epon.,Dionysius Calliphontis filius,calliphontis-dionysius-filius,Eponymous,
iamwork342,Dion. Hal.,Ant. Rom.,Dionysius Halicarnassensis,dionysius-halicarnassensis,Antiquitates Romanae,
iamwork343,Dion. Hal.,Comp.,Dionysius Halicarnassensis,dionysius-halicarnassensis,De compositione verborum,
iamwork344,Dion. Hal.,De imit.,Dionysius Halicarnassensis,dionysius-halicarnassensis,De imitatione,
iamwork345,Dion. Hal.,Dem.,Dionysius Halicarnassensis,dionysius-halicarnassensis,De Demosthene,
iamwork346,Dion. Hal.,Isoc.,Dionysius Halicarnassensis,dionysius-halicarnassensis,De Isocrate,
iamwork347,Dion. Hal.,Lys.,Dionysius Halicarnassensis,dionysius-halicarnassensis,De Lysia,
iamwork348,Dion. Hal.,Pomp.,Dionysius Halicarnassensis,dionysius-halicarnassensis,Epistula ad Pompeium,
iamwork349,Dion. Hal.,Rhet.,Dionysius Halicarnassensis,dionysius-halicarnassensis,Ars rhetorica,
iamwork350,Dion. Hal.,Thuc.,Dionysius Halicarnassensis,dionysius-halicarnassensis,De Thucydide,
iamwork351,Dion. Hal.,Vett. cens.,Dionysius Halicarnassensis,dionysius-halicarnassensis,De veterum censura,
iamwork352,Dion. Thrax.,Epon.,Dionysius Thrax,dionysius-thrax,Eponymous,
iamwork353,Dionys. Per.,Epon.,Dionysius Periegeta,dionysius-periegeta,Eponymous,
iamwork354,Donat.,Vit. Verg.,Aelius Donatus,aelius-donatus,Vita Vergili,
iamwork355,Enn.,Ann.,Ennius,ennius,Annales,
iamwork356,Epicharm.,Epon.,Epicharmus,epicharmus,Eponymous,
iamwork357,Epicurus,Ep.,Epicurus,epicurus,Epistulae,
iamwork358,Epicurus,Ep. Hdt.,Epicurus,epicurus,Epistula ad Herodotum,
iamwork359,Epicurus,Ep. Men.,Epicurus,epicurus,Epistula ad Menoeceum,
iamwork360,Epicurus,Ep. Pyth.,Epicurus,epicurus,Epistula ad Pythoclem,
iamwork361,Epicurus,RS,Epicurus,epicurus,Ratae sententiae,
iamwork362,Epicurus,Sent. Vat.,Epicurus,epicurus,Vatican Sayings (Gnomologium Vaticanum),
iamwork363,Epiph.,Adv. haeres.,Epiphanius,epiphanius,Adversus haereses,
iamwork364,Eratosth.,Cat.,Eratosthenes,eratosthenes,Greek,
iamwork365,Euc.,Epon.,Euclid,euclid,Eponymous,
iamwork366,Eudem.,Epon.,Eudemus,eudemus,Eponymous,
iamwork367,Eunap.,VS,Eunapius,eunapius,Vitae sophistarum,
iamwork368,Eup.,Epon.,Eupolis,eupolis,Eponymous,
iamwork369,Eur.,Alc.,Euripides,euripides,Alcestis,Alcestis
iamwork370,Eur.,Andr.,Euripides,euripides,Andromache,
iamwork371,Eur.,Bacch.,Euripides,euripides,Bacchae,
iamwork372,Eur.,Beller.,Euripides,euripides,Bellerophon,
iamwork373,Eur.,Cyc.,Euripides,euripides,Cyclops,
iamwork374,Eur.,El.,Euripides,euripides,Electra,
iamwork375,Eur.,Hec.,Euripides,euripides,Hecuba,
iamwork376,Eur.,Hel.,Euripides,euripides,Helena,
iamwork377,Eur.,Heracl.,Euripides,euripides,Heraclidae,
iamwork378,Eur.,HF,Euripides,euripides,Hercules furens,
iamwork379,Eur.,Hipp.,Euripides,euripides,Hippolytus,
iamwork380,Eur.,Hyps.,Euripides,euripides,Hypsipyle,
iamwork381,Eur.,IA,Euripides,euripides,Iphigenia Aulidensis,Iphigeneia in Aulis
iamwork382,Eur.,IT,Euripides,euripides,Iphigenia Taurica,Iphigeneia in Tauris
iamwork383,Eur.,Med.,Euripides,euripides,Medea,
