"stoa_work_id","latin_title","stoa_group_id","group_name"
"latinLit:stoa0275/latinLit:stoa005","Adversus Iudaeos","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa006","Adversus Marcionem","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa007","Adversus Praxean","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa008","Adversus Valentinianos","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa009","Apologeticum","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa010","De anima","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa011","De baptismo","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa012","De carne Christi","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa013","De corona militis","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa014","De cultu feminarum","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa015","De exhortatione castitatis","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa016","De fuga in persecutione","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa017","De idolatria","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa018","De ieiunio adversus psychicos","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa019","De monogamia","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa020","De oratione","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa021","De paenitentia","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa022","De pallio","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa023","De patientia","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa024","De praescriptione haereticorum","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa025","De pudicitia","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa026","De resurrectione carnis","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa027","De spectaculis","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa028","De testimonio animae","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa029","De virginibus velandis","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa030","Scorpiace adversus gnosticos Scorpiace","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa031","Fragmenta","latinLit:stoa0275","Tertullian"
"latinLit:stoa0276/latinLit:stoa001","Ad senatorem, ex Christiana religione ad idolorum servitutem conversum","latinLit:stoa0276","[Tertullian]"
"latinLit:stoa0276/latinLit:stoa002","Ad uxorem","latinLit:stoa0276","[Tertullian]"
"latinLit:stoa0276/latinLit:stoa003","Adversus omnes haereses","latinLit:stoa0276","[Tertullian]"
"latinLit:stoa0276/latinLit:stoa004","Carmen adversus Marcionitas","latinLit:stoa0276","[Tertullian]"
"latinLit:stoa0276/latinLit:stoa005","De execrandis gentis diis","latinLit:stoa0276","[Tertullian]"
